分類,guest 1,guest 2,guest 3,guest 4,guest 5,guest 6,guest 7,guest 8,guest 9,guest 10,guest 11,guest 12,guest 13,guest 14,guest 15,guest 16,guest 17,guest 18,guest 19,guest 20,guest 21,guest 22,guest 23,guest 24,guest 25,guest 26,guest 27,c_view,g_view
談話性,楊皓如,Michael,小跩,Maya,撒基努,古拉斯,陳立芹,鄧廣福,小布丁,甄莉,希德,Sky,保姆,晴晴,0,0,0,0,0,0,0,0,0,0,0,0,0,338849,4
歌曲,評審,戴愛玲張秀卿,Reso0nce留聲樂團,林宗興,管罄,杜力,唐從聖,黃靖倫,思思,邵邵,亦帆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166485,5
談話性,美食專家,胡天蘭安妮,夢多,阿諾,哈孝遠,凱莉,Neil,郭泰王,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300358,4
活動,白雲,何妤玟,成語蕎,小甜甜,謝家璇,何啟聖,陳斌魁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335461,4
活動,萱野可芬,萱野可芳,宋達民,宋逸民,黃喬歆,黃昱翔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272971,5
歌曲,評審,林隆璇,方文山,丁曉雯,金秀麗,陳央,香蕉,盧瑮莉,范揚景,荒漠甘泉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195389,5
活動,沈玉琳,張友驊,趙岱新,孔繁錦JR,李維維,陽詠存,孫沁岳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220691,5
活動,委託人,郭彥均,Shanon,安苡愛,阿虎,調查目標,沈玉琳,馬丁,楊晨熙,解婕翎,直擊特派員,張立東,瑪莉亞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486013,4
談話性,Paul,陳彥碩沈玉琳,小馬,黃鐙輝,張立東,解婕翎,徐瑋吟,何美,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458552,4
歌曲,李敏榮,四葉草,陳零九,TUD綠茶,張立東,撒基努,大根,楊子儀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234565,5
談話性,撒基努,督們,達令,布達爾,薩皿安,猶卡恩,木亞,夏曼亞昂努,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411761,4
活動,NONO,洪敬堯斯亞,綠茶,段旭明,曾昱嘉,逸祥,香蕉,阿虎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429042,4
活動,熊熊,徐瑋吟,曾子余,詹子晴,趙正平,梁赫群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497033,4
歌曲,評審,洪敬堯,袁永興方泂鑌,呂薔,林子森,黃少谷,宇宙人Mei,沈玉琳,劉雨柔,杜詩梅,何美,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256560,5
遊戲,屈中恆,Vicky,洪都拉斯,沈玉琳,何妤玟,劉爾金,醫師,柯漢祥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272234,5
職業,昕昕,魏智偉,陳綠,黃彥鈞,雨玄,陳志軒,餘明螢,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285283,5
談話性,趙正平,馬丁,U0,卡古,海產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310140,4
歌曲,評審,吳映潔,丁曉雯小鍾,唐從聖,鯰魚,林進,小A辣,小穎,夢夢,Leo,小喵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450637,4
遊戲,紅隊,沈玉琳,黃沐妍,鯰魚哥,藍隊,唐從聖,泱泱,瑪莉亞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358820,4
談話性,檢場,王中平,詹惟中,雲中嶽,郭彥甫,黃築婷,葉欣,Catie,陳柔伊,林建銘,林俊銘,王格心,江秉鴻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096893,1
活動,沈玉琳,楊繡惠,唐從聖,趙正平,小甜甜,撒基努,圓圓,公關,佩佩,Stone,Carrie,Cola,陸總,Tiger,Kenji,0,0,0,0,0,0,0,0,0,0,0,0,415289,4
歌曲,評審,蔡秋鳳,丁曉雯安歆澐,陳大天,閻奕格,卓義?,許書豪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146338,5
遊戲,苦苓,張齡予,楊晨熙,沈玉琳,詹惟中,詹子晴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376761,4
活動,偉晉,邱鋒澤,成語蕎,Popu,Lady,張雁名,逸祥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280315,5
談話性,謝哲青,派翠夏,康明思,李眉君,李少迪,可樂,Vivien,宋讚養,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312690,4
歌曲,評審,包偉銘,愷樂嘻小瓜,黃燈輝,TUD,黃昺翔,康茵茵,唐仲?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688603,3
活動,王宣,山豬,黃沐妍,林彥君,馬國賢,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321922,4
活動,蔡黃汝,鍾承翰,楊鎮,管麟,賴東賢,發明者,白朝蓉,白浩秦,吳俞葳,郭芊吟,李冀苑,張逸謙,張家舜,游政則,高志宏,林春福,0,0,0,0,0,0,0,0,0,0,0,324645,4
職業,呂文婉丁國琳,楊雅筑,沈世朋,楊麗菁,賴芊合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313915,4
歌曲,敖犬李依瑾,嘎嘎,高以馨,蘇一晉,劉虹翎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319674,4
談話性,蕾蕾,歐美玲,林品希,小冬瓜,許力文,張名儀,小富,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288147,5
歌曲,評審,王治平,爽樂團,紅中,小樂,維軒,禮義,笑笑,Oh,特爽,左邊那位,右邊那位,文慧如,黃聖文,安喬,古拉,貝可儀,0,0,0,0,0,0,0,0,0,0,1487314,1
談話性,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228169,5
歌曲,李玖哲,詹愷琪,佟凱玲,解偉苓丁曉雯,安苡愛,陳央,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218338,5
活動,王庭勻,陳彥名,詹雅涵,林柏叡,黃庭軒,又仁,大黑白,謝雪兒,樂群,李健竹,蛋捲,博恩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651024,3
活動,張立東,馬國賢,郭鑫潘映竹,允潔媽,安苡愛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897582,2
職業,吳懷中,曾智希,撒基努,郭彥均,林秀琴,黃鐙輝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258255,5
歌曲,黃鴻升,龍千玉,孫協志,許維芳,子凌,雅雅,吳申梅,小嫻,高以馨,吳俊宏,陳肇天,畢諾煦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385288,4
職業,正妹,雨玄,牟牟,廈雯,張書書,黃昕羽,普妹,蘇瀅,文心,張珺婷,龍龍,洪秀雯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235854,5
歌曲,邱勝翊綠茶,夏宇童,山豬,安苡愛,張心傑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260431,5
談話性,小番薯,林鼎修,高嘎,方世宇,玉婷,張修維,戴裕霖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186006,5
歌曲,張信哲曾昱嘉,閻奕格,林芯儀,韓森,陳大天,海產,杜力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233409,5
談話性,小鐘,詹惟中,趙正平,小優,無尊,蔡允潔,嘻小瓜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635456,3
歌曲,孫協志,郭彥均,嗨獎,斯亞,嘻小瓜,U0,包偉銘,林維哲,博焱,妖嬌,Terry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323024,4
談話性,小小瑜,Paul,佩佩,楊皓如,沈玉琳,Maya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529906,3
活動,評審,王治平,蕭煌奇,東方,盧學叡,U0,戰嬿樂團,娃兒,侑庭,甄甄,西方,RED,芮德,康茵茵,JB樂團,阿甘,廖主恆,老葉,0,0,0,0,0,0,0,0,0,262524,5
談話性,鍾瑤,李運慶,潘慧如,夏和熙,楊千玫,王策,李唐孟,Zero,Four,Crew,阿傑,小崧,文姿雲,杜偉誠,夏臨威,0,0,0,0,0,0,0,0,0,0,0,0,218150,5
活動,沈玉琳孔令奇,金美滿,易芝貓,嚴之,子涵,黃小愛,波波蓁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507852,3
活動,王彩樺,馬國賢,何妤玟,NONO,廖慧珍,白雲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341639,4
歌曲,阿沁Yumi,君君,大根,許飛飛,宇宙,Wez,BCW,王思涵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543333,3
職業,佩佩,陸董,Cola,Carrie,Pink,拉達,B子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282439,5
